actor_slug,type,title,url,captured_at,note
coop-prix-byglandsfjord-byglandsfjord,map,Google Maps,https://maps.google.com/?cid=1916890834953925786&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-04-15,Kilde: Google Places API
frelsesarmeen-arendal,website,Offisiell nettside,http://www.frelsesarmeen.no/no/vart_arbeid/korps_menigheter/hoyre_kolonne/divisjonene/vestre/hoyre_kolonne/vare_tilbud/arendal_korps/,2026-04-15,
frelsesarmeen-arendal,map,Google Maps,https://maps.google.com/?cid=10916197461531982503&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-04-15,Kilde: Google Places API
nms-gjenbruk-lillesand-lillesand,website,Offisiell nettside,https://www.nmsgjenbruk.no/butikkene-vare/lillesand-92c65,2026-04-15,
nms-gjenbruk-lillesand-lillesand,map,Google Maps,https://maps.google.com/?cid=190921500357364044&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-04-15,Kilde: Google Places API
gjenbruken-lillesand-lillesand,website,Offisiell nettside,https://gjenbruken.no/lillesand/,2026-04-15,
gjenbruken-lillesand-lillesand,map,Google Maps,https://maps.google.com/?cid=9838616847375642733&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-04-15,Kilde: Google Places API
homborsund-landhandel-homborsund,map,Google Maps,https://maps.google.com/?cid=18192622006427536564&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-04-15,Kilde: Google Places API
arendal-verktoy-utleie-arendal,map,Google Maps,https://maps.google.com/?cid=7938951880694256766&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-04-15,Kilde: Google Places API
j-t-liftutleie-as-grimstad,website,Offisiell nettside,https://www.jt-liftutleie.no/,2026-04-15,
j-t-liftutleie-as-grimstad,map,Google Maps,https://maps.google.com/?cid=2942850255585714336&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-04-15,Kilde: Google Places API
monter-grimstad-grimstad,website,Offisiell nettside,https://www.monter.no/?utm_source=Google&utm_medium=Organic+Search&utm_campaign=Google_my_business,2026-04-15,
monter-grimstad-grimstad,map,Google Maps,https://maps.google.com/?cid=9589816456730723166&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-04-15,Kilde: Google Places API
bua-grimstad-grimstad,website,Offisiell nettside,https://www.bua.io/utlansordninger/bua-grimstad,2026-04-15,
bua-grimstad-grimstad,map,Google Maps,https://maps.google.com/?cid=14692034836738908897&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-04-15,Kilde: Google Places API
fargerike-grimstad-grimstad,website,Offisiell nettside,https://www.fargerike.no/fargehandel/grimstad/?utm_source=Google+My+Business&utm_medium=Organic&utm_content=grimstad,2026-04-15,
fargerike-grimstad-grimstad,map,Google Maps,https://maps.google.com/?cid=11414237941265066857&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-04-15,Kilde: Google Places API
bondekompaniet-grimstad-grimstad,website,Offisiell nettside,http://www.bondekompaniet.no/,2026-04-15,
bondekompaniet-grimstad-grimstad,map,Google Maps,https://maps.google.com/?cid=2808616478193584907&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-04-15,Kilde: Google Places API
ferda-avd-grimstad-grimstad,website,Offisiell nettside,http://www.ferda.no/,2026-04-15,
ferda-avd-grimstad-grimstad,map,Google Maps,https://maps.google.com/?cid=14175084016850766322&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-04-15,Kilde: Google Places API
arendal-utleie-as-arendal,website,Offisiell nettside,https://www.arendalutleie.no/,2026-04-15,
arendal-utleie-as-arendal,map,Google Maps,https://maps.google.com/?cid=13851739751863056329&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-04-15,Kilde: Google Places API
grenstol-maskinutleie-as-tvedestrand,website,Offisiell nettside,https://grenstolmaskinutleie.no/,2026-04-15,
grenstol-maskinutleie-as-tvedestrand,map,Google Maps,https://maps.google.com/?cid=14349463136160642758&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-04-15,Kilde: Google Places API
risor-lager-utleie-risor,map,Google Maps,https://maps.google.com/?cid=8340230999003181162&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-04-15,Kilde: Google Places API
ristol-maskinutleie-entreprenor-arendal,website,Offisiell nettside,https://ristolmaskin.no/,2026-04-15,
ristol-maskinutleie-entreprenor-arendal,map,Google Maps,https://maps.google.com/?cid=9246494409203902302&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-04-15,Kilde: Google Places API
liftkongen-no-evje,website,Offisiell nettside,http://liftkongen.no/,2026-04-15,
liftkongen-no-evje,map,Google Maps,https://maps.google.com/?cid=17115003948168528615&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-04-15,Kilde: Google Places API
uleberg-og-trydal-maskin-as-bykle,website,Offisiell nettside,http://ulebergogtrydalmaskin.no/,2026-04-15,
uleberg-og-trydal-maskin-as-bykle,map,Google Maps,https://maps.google.com/?cid=12926430571876412005&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-04-15,Kilde: Google Places API
uleberg-maskin-og-transport-as-hovden-i-setesdal,website,Offisiell nettside,https://ulebergmaskin.no/,2026-04-15,
uleberg-maskin-og-transport-as-hovden-i-setesdal,map,Google Maps,https://maps.google.com/?cid=10988133998102520607&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-04-15,Kilde: Google Places API
utstyrs-teknikk-hoyde-teknikk-as-avd-vennesla-vennesla,website,Offisiell nettside,https://hoydeteknikk.no/verktoey/,2026-04-15,
utstyrs-teknikk-hoyde-teknikk-as-avd-vennesla-vennesla,map,Google Maps,https://maps.google.com/?cid=5591342004626950081&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-04-15,Kilde: Google Places API
schenk-utleie-as-lillesand,website,Offisiell nettside,https://schenkutleie.no/,2026-04-15,
schenk-utleie-as-lillesand,map,Google Maps,https://maps.google.com/?cid=9292118525585366328&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-04-15,Kilde: Google Places API
bakkan-dekk-og-utleie-as-vennesla,website,Offisiell nettside,https://www.bakkanutleie.no/,2026-04-15,
bakkan-dekk-og-utleie-as-vennesla,map,Google Maps,https://maps.google.com/?cid=4360143477549546233&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-04-15,Kilde: Google Places API
